<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Meyar Sanat-a,20171004,1439.07,1439,1297,1309.39,266071
Meyar Sanat-a,20171007,1309.39,1309,1306,1309.39,603995
Meyar Sanat-a,20171009,1309.39,1309,1309,1309.39,122775
Meyar Sanat-a,20171011,1428.34,1428,1321,1323.04,33700
Meyar Sanat-a,20171014,1363.99,1364,1321,1334.74,15896
Meyar Sanat-a,20171016,1317.19,1317,1317,1317.19,69782
Meyar Sanat-a,20171018,1317.19,1326,1317,1318.17,134246
Meyar Sanat-a,20171021,1326.94,1327,1327,1326.94,30000
Meyar Sanat-a,20171023,1326.94,1365,1327,1360.09,256316
Meyar Sanat-a,20171025,1465.39,1465,1465,1465.39,39022
Meyar Sanat-a,20171028,1316.22,1389,1316,1384.47,27643
Meyar Sanat-a,20171030,1384.47,1387,1384,1385.44,240638
Meyar Sanat-a,20171101,1513.16,1513,1443,1443.94,208650
Meyar Sanat-a,20171104,1444.92,1445,1445,1444.92,56180
Meyar Sanat-a,20171106,1453.69,1755,1454,1603.84,1145636
Meyar Sanat-a,20171108,2135.20,2135,1951,2127.40,1634580
Meyar Sanat-a,20171111,1775.43,1950,1775,1946.05,120199
Meyar Sanat-a,20171113,1946.05,1946,1940,1945.08,598789
Meyar Sanat-a,20171115,1996.75,1997,1969,1995.78,729189
Meyar Sanat-a,20171118,2143.00,2143,1977,1980.18,53425
Meyar Sanat-a,20171120,1940.20,1940,1940,1940.20,16358
Meyar Sanat-a,20171122,1794.93,1795,1795,1794.93,70378
Meyar Sanat-a,20171125,1940.20,1940,1901,1940.20,258827
Meyar Sanat-a,20171129,1943.13,1943,1943,1943.13,60084
Meyar Sanat-a,20171202,1920.70,1921,1804,1863.18,42316
Meyar Sanat-a,20171204,1802.73,1803,1799,1802.73,136565
Meyar Sanat-a,20171211,1618.46,1636,1618,1620.41,76666
